variant_name,score_name,stage_id,meta_year,meta_race,stage_nr,rows,ndcg_at_5,ndcg_at_10,ndcg_at_20,top_1_accuracy,top_5_accuracy,top_10_accuracy,top_20_accuracy,map,map_at_10,spearman_rho
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST10,2025,vuelta-a-espana,10,153,0.14111392573258486,0.10370968013634208,0.2442678472287167,0.0,0.0,0.0,0.0,0.29989246387705315,0.025,0.2635264632168656
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST12,2025,vuelta-a-espana,12,148,0.4266302569485107,0.3212617756871598,0.3557866028342437,0.0,0.0,0.0,1.0,0.22772747142285843,0.13999999999999999,0.09375242932289914
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST13,2025,vuelta-a-espana,13,144,0.4104889601851253,0.40978171827042376,0.5602411149995435,0.0,0.0,1.0,1.0,0.44596006283648204,0.12857142857142856,0.2910216220561048
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST14,2025,vuelta-a-espana,14,143,0.4104889601851253,0.523581951238937,0.5538777484248519,0.0,0.0,1.0,1.0,0.4359889189983949,0.22063492063492066,0.39563429528218264
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST15,2025,vuelta-a-espana,15,143,0.2772734273550482,0.20377817647701685,0.24823806172581034,0.0,1.0,1.0,1.0,0.22003108941827454,0.065,0.16026872188844019
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST16,2025,vuelta-a-espana,16,140,0.11305340175787205,0.18433305833385075,0.2804007392348519,0.0,0.0,1.0,1.0,0.29452711959756034,0.01111111111111111,0.24220769281231555
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST17,2025,vuelta-a-espana,17,140,0.4818177150966345,0.46340312687103996,0.5803357903406403,0.0,0.0,0.0,1.0,0.4219498411254414,0.24285714285714283,0.26454702499398663
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST19,2025,vuelta-a-espana,19,140,0.69921481985085,0.5265238246784076,0.5774563286793292,1.0,1.0,1.0,1.0,0.34215419370975025,0.275,0.10670223699459888
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST2,2025,vuelta-a-espana,2,167,0.5953379117551575,0.6742902783504163,0.6468768512985494,1.0,1.0,1.0,1.0,0.5781290129754113,0.39630952380952383,0.41138291403423793
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST20,2025,vuelta-a-espana,20,140,0.4104889601851253,0.390471599695528,0.5557381526223669,1.0,1.0,1.0,1.0,0.4287302913043513,0.13333333333333333,0.4278716844153857
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST3,2025,vuelta-a-espana,3,165,0.30573960425927144,0.31079664344778124,0.4046223940366304,0.0,0.0,0.0,1.0,0.31659416009569236,0.11083333333333334,0.3566639061790399
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST4,2025,vuelta-a-espana,4,163,0.4400930682502716,0.34011577055090264,0.2992629574737665,0.0,0.0,0.0,0.0,0.27832332789664826,0.2,0.2904467388232165
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST6,2025,vuelta-a-espana,6,159,0.2281171825068285,0.2440910765332854,0.3219081286804558,0.0,0.0,0.0,0.0,0.4596213683840441,0.0125,0.41887389539049447
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST7,2025,vuelta-a-espana,7,156,0.38697720739102365,0.36063779984773897,0.4017541008238305,0.0,1.0,1.0,1.0,0.5543425490550427,0.04722222222222222,0.3248376033253781
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST8,2025,vuelta-a-espana,8,154,0.4818177150966345,0.43664481533769917,0.4533216660337294,1.0,1.0,1.0,1.0,0.29126463351448195,0.22999999999999998,0.21337637694373937
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST9,2025,vuelta-a-espana,9,154,0.31920241556103235,0.4203873044625806,0.4948373828779003,0.0,1.0,1.0,1.0,0.43569496035415267,0.10500000000000001,0.16254548740317243
thinking_medium_roc_auc,score_topk_raw_sum,giro-d-italia_2024_ST1,2024,giro-d-italia,1,176,0.27051296561346355,0.2708622548231258,0.24240047789849367,0.0,0.0,1.0,1.0,0.19429447413015236,0.06999999999999999,-0.09032137354171252
thinking_medium_roc_auc,score_topk_raw_sum,giro-d-italia_2024_ST10,2024,giro-d-italia,10,158,0.3304505065120876,0.3248781599897337,0.3919840959712872,0.0,0.0,0.0,0.0,0.4149292557958149,0.05,0.2922406173795445
thinking_medium_roc_auc,score_topk_raw_sum,giro-d-italia_2024_ST11,2024,giro-d-italia,11,155,0.4959486328689355,0.4135196260590677,0.49878778888709824,0.0,0.0,0.0,0.0,0.5041161605908988,0.16666666666666666,0.18680029647771584
